""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"tissue_type_term_id_1"	"tissue_type_term_id_2"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"LCP2"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"LCP2"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"SLAMF7"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"SLAMF7"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"PLEC"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"PLEC"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CXCL10"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CXCL10"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"LMNA"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"LMNA"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"IFIH1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"IFIH1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CEACAM1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CEACAM1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"INO80B"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"INO80B"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"ADGRL1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"ADGRL1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"SAMSN1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"SAMSN1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"RPS2P5"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"RPS2P5"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"GON4L"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"GON4L"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"GBP1P1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"GBP1P1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CCDC71L"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CCDC71L"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"MC1R"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"MC1R"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"TUFM"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"TUFM"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"ST6GALNAC6"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"ST6GALNAC6"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"S100P"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"S100P"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"RIPOR2"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"RIPOR2"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"ITPRIP"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"ITPRIP"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"IRF9"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"IRF9"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"HNRNPA1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"HNRNPA1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"DEPP1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"DEPP1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"COX6B1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"COX6B1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CCL4L2"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CCL4L2"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
